CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Jeffrey P. Black,TELEFLEX INC,10407,23463,2007,teleflex inc
Krish A. Prabhu,TELLABS INC,10420,27664,2007,tellabs inc
"Kenneth Michael Jastrow, II",TEMPLE-INLAND INC,10426,3424,2007,temple-inland
Michael A. Bradley,TERADYNE INC,10453,14965,2007,teradyne inc
Bruce A. Smith,ANDEAVOR,10466,33938,2007,andeavor
Richard K. Templeton,TEXAS INSTRUMENTS INC,10499,14274,2007,texas instruments
"Charles John Wilder, Jr.",ENERGY FUTURE HOLDINGS CORP,10507,18930,2007,energy future holdings
Lewis B. Campbell,TEXTRON INC,10519,1561,2007,textron inc
Marijn E. Dekkers,THERMO FISHER SCIENTIFIC INC,10530,21489,2007,thermo fisher scientific
Mark S. McAndrew,GLOBE LIFE INC,10614,16336,2007,globe life inc
Philip W. Tomlinson,TOTAL SYSTEM SERVICES INC,10631,12464,2007,total system services
Dennis J. FitzSimons,TRIBUNE MEDIA CO,10726,5957,2007,tribune media
Edward D. Breen,TYCO INTERNATIONAL PLC,10787,13508,2007,tyco international plc
Richard L. Bond,TYSON FOODS INC  -CL A,10793,6153,2007,tyson foods  
Glenn F. Tilton,UNITED AIRLINES HOLDINGS INC,10795,12643,2007,united airlines holdings
Gary L. Rainwater,AMEREN CORP,10860,16412,2007,ameren corp
James R. Young,UNION PACIFIC CORP,10867,20835,2007,union pacific
Thomas W. Toomey,UDR INC,10894,24862,2007,udr inc
Stephen J. Hemsley,UNITEDHEALTH GROUP INC,10903,16998,2007,unitedhealth group
Michael L. Eskew,UNITED PARCEL SERVICE INC,10920,21067,2007,united parcel service
Murray S. Kessler,UST INC,10974,20959,2007,ust inc
George David,RAYTHEON TECHNOLOGIES CORP,10983,1180,2007,raytheon technologies
Gary D. Forsee,SPRINT CORP,10984,10525,2007,sprint corp
Alan B. Miller,UNIVERSAL HEALTH SVCS INC,11032,8337,2007,universal health svcs
Mackey J. McDonald,VF CORP,11060,1508,2007,vf corp
